GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
286.0	|	324.0	|	-4.57910989	|	-1.296078063	|	-18.18167046	|	-0.752	|	0.028	|	1.206	|	8.677	|	-45.239	|	-45.239	|	0.971	|	-0.002	|	0.085	|	0.0
289.0	|	325.0	|	-4.501894645	|	-1.413684195	|	-18.29291761	|	-0.708	|	-0.03	|	1.267	|	18.795	|	-37.09	|	-37.09	|	0.95	|	0.013	|	0.115	|	0.0
300.0	|	326.0	|	-4.39457963	|	-1.522495016	|	-18.39616107	|	-0.673	|	-0.065	|	1.23	|	26.827	|	-34.958	|	-34.958	|	0.965	|	0.013	|	0.082	|	0.0
303.0	|	322.0	|	-4.274404504	|	-1.641332153	|	-18.51021724	|	-0.642	|	-0.133	|	1.043	|	31.304	|	-37.529	|	-37.529	|	0.976	|	0.011	|	0.104	|	0.0
300.0	|	324.0	|	-4.142006363	|	-1.770119526	|	-18.63439754	|	-0.602	|	-0.203	|	0.871	|	35.596	|	-39.911	|	-39.911	|	0.97	|	0.011	|	0.095	|	0.0
304.0	|	331.0	|	-4.011678659	|	-1.920245357	|	-18.77729772	|	-0.556	|	-0.276	|	0.799	|	36.332	|	-44.738	|	-44.738	|	0.97	|	0.018	|	0.122	|	0.0
305.0	|	328.0	|	-3.901308669	|	-2.072179046	|	-18.92227272	|	-0.544	|	-0.336	|	0.75	|	31.917	|	-44.989	|	-44.989	|	0.944	|	0.028	|	0.085	|	0.0
318.0	|	332.0	|	-3.81361442	|	-2.210974392	|	-19.05316453	|	-0.549	|	-0.409	|	0.734	|	27.134	|	-41.227	|	-41.227	|	0.971	|	-0.008	|	0.134	|	0.0
330.0	|	332.0	|	-3.730965665	|	-2.329767166	|	-19.16836545	|	-0.548	|	-0.424	|	0.719	|	26.092	|	-36.526	|	-36.526	|	0.939	|	0.019	|	0.116	|	0.0
341.0	|	332.0	|	-3.647366101	|	-2.430597079	|	-19.2677509	|	-0.549	|	-0.391	|	0.736	|	26.153	|	-32.325	|	-32.325	|	0.949	|	0.006	|	0.144	|	0.0
353.0	|	335.0	|	-3.5683456	|	-2.502101912	|	-19.34227975	|	-0.557	|	-0.338	|	0.802	|	24.313	|	-25.68	|	-25.68	|	0.959	|	0.018	|	0.106	|	0.0
365.0	|	340.0	|	-3.489361435	|	-2.549567751	|	-19.39657549	|	-0.576	|	-0.287	|	0.869	|	23.884	|	-20.163	|	-20.163	|	0.967	|	0.021	|	0.148	|	0.0
380.0	|	349.0	|	-3.410893384	|	-2.580721719	|	-19.43702175	|	-0.597	|	-0.252	|	0.889	|	23.148	|	-16.465	|	-16.465	|	0.961	|	0.021	|	0.109	|	0.0
394.0	|	356.0	|	-3.334936888	|	-2.60291413	|	-19.46952042	|	-0.631	|	-0.255	|	0.869	|	22.719	|	-14.271	|	-14.271	|	0.956	|	0.0	|	0.146	|	0.0
408.0	|	360.0	|	-3.262846495	|	-2.620384971	|	-19.49994889	|	-0.642	|	-0.262	|	0.823	|	21.738	|	-13.33	|	-13.33	|	0.961	|	0.021	|	0.122	|	0.0
418.0	|	362.0	|	-3.207458555	|	-2.624097479	|	-19.51794946	|	-0.631	|	-0.29	|	0.711	|	18.243	|	-9.82	|	-9.82	|	0.959	|	0.003	|	0.148	|	0.0
428.0	|	365.0	|	-3.165670783	|	-2.612648455	|	-19.52480004	|	-0.659	|	-0.326	|	0.598	|	15.238	|	-6.246	|	-6.246	|	0.943	|	0.023	|	0.127	|	0.0
435.0	|	368.0	|	-3.120378112	|	-2.584038802	|	-19.51624721	|	-0.668	|	-0.369	|	0.533	|	16.955	|	-1.858	|	-1.858	|	0.936	|	0.019	|	0.165	|	0.0
432.0	|	370.0	|	-3.073627387	|	-2.553865221	|	-19.50706531	|	-0.647	|	-0.363	|	0.475	|	17.323	|	-1.544	|	-1.544	|	0.953	|	0.032	|	0.132	|	0.0
429.0	|	370.0	|	-3.020003596	|	-2.509266139	|	-19.48544154	|	-0.609	|	-0.323	|	0.419	|	19.162	|	1.903	|	1.903	|	0.944	|	0.026	|	0.17	|	0.0
431.0	|	373.0	|	-2.941875862	|	-2.439663401	|	-19.44166993	|	-0.548	|	-0.25	|	0.402	|	24.988	|	7.734	|	7.734	|	0.955	|	0.024	|	0.142	|	0.0
425.0	|	377.0	|	-2.855397917	|	-2.351367225	|	-19.38139317	|	-0.535	|	-0.217	|	0.413	|	27.011	|	12.185	|	12.185	|	0.944	|	0.021	|	0.181	|	0.0
414.0	|	379.0	|	-2.771519521	|	-2.242700439	|	-19.30412041	|	-0.551	|	-0.19	|	0.432	|	25.846	|	16.886	|	16.886	|	0.952	|	0.041	|	0.149	|	0.0
408.0	|	381.0	|	-2.693248394	|	-2.119988656	|	-19.21375479	|	-0.579	|	-0.207	|	0.492	|	24.681	|	20.397	|	20.397	|	0.939	|	0.044	|	0.172	|	0.0
400.0	|	380.0	|	-2.621051642	|	-1.999926001	|	-19.12499599	|	-0.552	|	-0.158	|	0.573	|	22.29	|	19.645	|	19.645	|	0.923	|	0.045	|	0.153	|	0.0
388.0	|	375.0	|	-2.539624158	|	-1.890922631	|	-19.04547919	|	-0.513	|	-0.04	|	0.669	|	22.535	|	16.761	|	16.761	|	0.944	|	0.047	|	0.182	|	0.0
373.0	|	367.0	|	-2.460256161	|	-1.777240356	|	-18.96171322	|	-0.501	|	0.014	|	0.723	|	20.757	|	17.889	|	17.889	|	0.949	|	0.066	|	0.155	|	0.0
354.0	|	357.0	|	-2.405125245	|	-1.662619419	|	-18.87502458	|	-0.498	|	-0.079	|	0.724	|	16.648	|	18.391	|	18.391	|	0.944	|	0.045	|	0.194	|	0.0
340.0	|	348.0	|	-2.354834131	|	-1.549721059	|	-18.79281022	|	-0.495	|	-0.114	|	0.618	|	15.974	|	17.827	|	17.827	|	0.929	|	0.066	|	0.174	|	0.0
